,Data Medicao,PRECIPITACAO,TEMPERATURA_MAXIMA_MEDIA,TEMPERATURA_MEDIA,TEMPERATURA_MINIMA_MEDIA,PET,BAL,SPI6,SPEI3,Date,ano,mes,frequencia_incendios,mes_numero
109,2007-02-28,265.9,26.314286,21.417143,18.292857,119.011392220334,146.888607779666,2.35856273005635,0.800778518942455,02/2007,2007,Fevereiro,0,2
110,2007-03-31,35.7,28.043333,22.638065,18.487097,137.631039067848,-101.931039067848,1.39978953731386,-0.0480662935000581,03/2007,2007,Março,1,3
111,2007-04-30,50.1,27.576667,22.124,18.073333,115.745001773422,-65.6450017734215,-1.18318424548348,-1.26379707878376,04/2007,2007,Abril,3,4
112,2007-05-31,7.5,26.883871,20.779355,15.680645,108.706739404171,-101.206739404171,-1.08756889922035,-1.79871193376973,05/2007,2007,Maio,16,5
113,2007-06-30,0.0,26.163333,19.900741,14.663333,95.8013141253656,-95.8013141253656,-0.792133912362024,-1.22152886736255,06/2007,2007,Junho,59,6
114,2007-07-31,0.0,26.732258,20.266452,14.93871,104.556112533234,-104.556112533234,-1.51593476325414,-1.14648234767624,07/2007,2007,Julho,87,7
115,2007-08-31,0.0,26.903226,20.390968,14.816129,119.871525831746,-119.871525831746,-3.0995061587603,-0.874467392478661,08/2007,2007,Agosto,197,8
116,2007-09-30,0.0,29.563333,23.249333,17.49,142.384806849103,-142.384806849103,-2.04355927091601,-1.05125129831004,09/2007,2007,Setembro,99,9
117,2007-10-31,38.3,30.466667,24.004516,19.0,162.138181055793,-123.838181055793,-2.27232195596439,-1.52690335958573,10/2007,2007,Outubro,22,10
118,2007-11-30,224.9,28.106667,22.481333,18.506667,145.318740993803,79.5812590061969,-1.51801445826675,-1.45800702797628,11/2007,2007,Novembro,0,11
119,2007-12-31,275.0,26.867742,21.772258,18.122581,142.464270518698,132.535729481302,-0.957607556555712,-0.782975050546584,12/2007,2007,Dezembro,0,12
120,2008-01-31,201.0,26.458065,21.623871,18.16129,137.851655742796,63.1483442572037,-0.945044931490871,0.113485561094979,01/2008,2008,Janeiro,0,1
121,2008-02-29,227.6,26.617241,21.466897,18.141379,122.567132407665,105.032867592335,-0.505893700554004,0.630484095293661,02/2008,2008,Fevereiro,0,2
122,2008-03-31,234.6,26.196774,21.18,17.890323,124.498643156077,110.101356843923,-0.201875500073791,0.622183012145858,03/2008,2008,Março,2,3
123,2008-04-30,210.2,26.916667,21.680667,17.933333,111.425784819441,98.7742151805585,0.724778803536335,0.931431721356705,04/2008,2008,Abril,1,4
124,2008-05-31,0.0,25.877419,20.127742,14.967742,104.913463358596,-104.913463358596,0.77620814125334,0.444562186600213,05/2008,2008,Maio,7,5
125,2008-06-30,0.0,25.18,19.507333,14.31,91.5112543036047,-91.5112543036047,0.604568954032835,0.553312225598867,06/2008,2008,Junho,11,6
126,2008-07-31,0.0,24.980645,18.895484,13.474194,98.9771566353183,-98.9771566353183,0.668959313269662,-0.911476780072023,07/2008,2008,Julho,39,7
127,2008-08-31,2.7,27.716129,21.534839,15.596774,122.505216181173,-119.805216181173,0.406845082613075,-0.424459757274204,08/2008,2008,Agosto,71,8
128,2008-09-30,79.9,29.923333,23.142,17.606667,144.641878131807,-64.7418781318068,0.756677110131343,0.653334085462439,09/2008,2008,Setembro,56,9
129,2008-10-31,38.7,30.309677,24.096129,18.790323,161.809774263699,-123.109774263699,-0.890901189333659,-0.564094958724116,10/2008,2008,Outubro,8,10
130,2008-11-30,271.0,27.233333,21.608,18.05,139.830836284352,131.169163715648,-0.330590780336595,-0.280434067087359,11/2008,2008,Novembro,6,11
131,2008-12-31,323.4,25.919355,21.183226,18.36129,131.276210559937,192.123789440063,0.240263022443808,-0.0114143989331897,12/2008,2008,Dezembro,0,12
132,2009-01-31,205.0,27.209677,22.101935,18.619355,142.384317699414,62.6156823005856,0.267618578447726,0.948245083119624,01/2009,2009,Janeiro,1,1
133,2009-02-28,134.8,27.403571,22.194286,18.45,127.690293944077,7.10970605592257,0.0349568342177343,0.325152016447254,02/2009,2009,Fevereiro,0,2
134,2009-03-31,81.0,27.93871,22.338065,18.416129,137.094741812662,-56.0947418126621,-1.1676989866037,-1.35670470331817,03/2009,2009,Março,0,3
135,2009-04-30,375.9,25.766667,20.910667,17.693333,103.806404714751,272.093595285249,0.806340976518506,0.364336220195043,04/2009,2009,Abril,0,4
136,2009-05-31,61.2,25.248387,20.036129,15.870968,97.6161964570845,-36.4161964570845,0.937229856269403,0.982189856624232,05/2009,2009,Maio,15,5
137,2009-06-30,9.3,24.99,19.156,14.22,90.7496874771958,-81.4496874771958,0.572634011645779,2.13209352564614,06/2009,2009,Junho,6,6
138,2009-07-31,0.0,26.606452,20.460645,14.53871,105.044870669792,-105.044870669792,0.610138949202722,1.35787005497915,07/2009,2009,Julho,32,7
139,2009-08-31,72.5,26.919355,20.778065,15.764516,116.592537176367,-44.0925371763673,1.27790315720841,1.84754590542479,08/2009,2009,Agosto,37,8
140,2009-09-30,50.5,28.306667,22.814,18.563333,127.62609443858,-77.1260944385798,2.4160978022851,1.40663539815965,09/2009,2009,Setembro,4,9
141,2009-10-31,295.8,27.567742,21.696129,18.03871,141.098438677134,154.701561322866,1.97122433117509,1.67327119966896,10/2009,2009,Outubro,4,10
142,2009-11-30,199.1,27.74,22.27,18.646667,141.042023035384,58.0579769646165,1.27905369423696,1.05701882178649,11/2009,2009,Novembro,0,11
143,2009-12-31,307.8,26.103226,21.282581,18.167742,134.497686989683,173.302313010317,1.4242594398235,1.17772376210634,12/2009,2009,Dezembro,0,12
144,2010-01-31,121.0,27.574194,22.423226,18.416129,147.305403479496,-26.3054034794964,1.01823351560541,-0.503422463432559,01/2010,2010,Janeiro,1,1
145,2010-02-28,37.2,28.417857,23.121429,18.95,133.747395768359,-96.5473957683594,-0.221560628461184,-1.22209819889848,02/2010,2010,Fevereiro,5,2
146,2010-03-31,244.7,28.141935,22.435484,18.845161,136.50456990099,108.19543009901,-0.175570325383044,-1.59750887222233,03/2010,2010,Março,2,3
147,2010-04-30,238.8,27.103333,21.472667,16.996667,117.085511605321,121.714488394679,-0.371121608724838,-0.247722601413123,04/2010,2010,Abril,8,4
148,2010-05-31,27.5,27.883871,21.268387,15.767742,114.621300695073,-87.1213006950725,-0.116254650416736,0.724053155133084,05/2010,2010,Maio,22,5
149,2010-06-30,0.0,26.116667,19.348667,13.493333,98.7734576861384,-98.7734576861384,-0.53890367774737,0.845297260005894,06/2010,2010,Junho,78,6
150,2010-07-31,0.0,25.841935,19.594194,14.4,101.081104373079,-101.081104373079,-0.0923370906109273,-0.59009861508327,07/2010,2010,Julho,100,7
151,2010-08-31,0.0,27.466667,20.584667,14.173333,125.581605425837,-125.581605425837,0.790263095098111,-1.11680419596958,08/2010,2010,Agosto,181,8
152,2010-09-30,0.0,30.173333,23.439333,17.6,146.568978832086,-146.568978832086,0.550673681427154,-1.20288190288956,09/2010,2010,Setembro,204,9
153,2010-10-31,189.9,29.235484,23.006452,18.741935,152.390337906601,37.5096620933988,0.145584994747402,0.169317476253526,10/2010,2010,Outubro,10,10
154,2010-11-30,254.5,26.25,21.214286,17.739286,132.458964736677,122.041035263323,0.0726560988822797,0.278846661606289,11/2010,2010,Novembro,1,11
155,2010-12-31,318.0,27.022581,21.865806,18.383871,142.325663154622,175.674336845378,0.521583895117324,0.881640714049984,12/2010,2010,Dezembro,1,12
156,2011-01-31,126.8,26.606452,21.874839,18.425806,137.588072482186,-10.7880724821861,0.0694308362974998,0.210976044643696,01/2011,2011,Janeiro,0,1
157,2011-02-28,172.4,27.403846,21.740769,17.992308,130.180014132801,42.2199858671992,0.0886109866134175,-0.108789535639005,02/2011,2011,Fevereiro,2,2
158,2011-03-31,243.2,26.745161,21.600645,18.303226,127.023930359696,116.176069640304,0.428721875442087,-0.262616021165778,03/2011,2011,Março,0,3
159,2011-04-30,69.5,26.876667,21.555333,17.58,112.798161845118,-43.2981618451176,-0.187478767301386,-0.37378776143787,04/2011,2011,Abril,1,4
160,2011-05-31,13.9,25.829032,20.203871,15.393548,103.114671992186,-89.2146719921855,-0.300969321691409,-0.414005817520359,05/2011,2011,Maio,5,5
161,2011-06-30,3.8,25.73,19.394667,14.141379,94.9676730854505,-91.1676730854505,-0.78701405398884,-0.781393638345887,06/2011,2011,Junho,18,6
162,2011-07-31,0.0,26.374194,19.682581,13.751613,106.005604895749,-106.005604895749,-0.399352985175365,-0.567792643995163,07/2011,2011,Julho,54,7
163,2011-08-31,0.0,29.132258,22.19871,15.790323,131.157733902021,-131.157733902021,-0.408159729161132,-1.25266563245528,08/2011,2011,Agosto,55,8
164,2011-09-30,7.0,30.01,23.126667,17.0,147.727367931581,-140.727367931581,-1.33400933948859,-1.31361304129522,09/2011,2011,Setembro,135,9
165,2011-10-31,263.9,26.216129,20.767742,17.280645,133.083768755776,130.816231244224,0.724703788882284,0.866574225023285,10/2011,2011,Outubro,0,10
166,2011-11-30,333.8,25.936667,20.855333,17.213333,132.689195991843,201.110804008157,1.16723056677994,1.33058747075628,11/2011,2011,Novembro,0,11
