"Data Medicao","PRECIPITACAO","TEMPERATURA_MAXIMA_MEDIA","TEMPERATURA_MEDIA","TEMPERATURA_MINIMA_MEDIA","PET","BAL","SPI6","SPEI3"
"10/31/1994",50,29.958065,23.668387,18.145161,161.930185370546,-111.930185370546,-0.709702904851958,-1.37008845107228
"11/30/1994",268.9,27.306667,22.190667,18.383333,138.530195639728,130.369804360272,-0.819188347780427,-0.866597310970957
"12/31/1994",194,26.319355,21.387097,18.235484,136.231830143033,57.7681698569671,-1.11854200720631,-0.862757840812719
"1/31/1995",204.6,27.032258,21.969032,18.235484,143.091948935634,61.5080510643658,-1.10300604200605,-0.106724391960343
"2/28/1995",158.3,26.603571,21.580741,18.057143,122.926341054895,35.3736589451048,-1.1146363427421,-0.511336080715823
"3/31/1995",253.1,27.451613,22.049677,18.112903,134.455479742856,118.644520257144,-0.665990132804295,0.22798667556091
"4/30/1995",140.3,26.096667,21.093333,17.746667,106.081970775615,34.218029224385,-0.0124913843236185,0.129962224761854
"5/31/1995",38.4,25.564516,20.368387,16.387097,97.617210512487,-59.217210512487,-0.0521610413011425,0.369613156636125
"6/30/1995",0,24.84,18.74,13.613333,91.7165399219555,-91.7165399219555,0.187453506667291,0.372840557405766
"7/31/1995",0.1,25.319355,19.249032,14.367742,98.1681102791392,-98.0681102791392,0.176863104558645,0.708915667078414
"8/31/1995",0,27.587097,21.409032,15.841935,120.776648903085,-120.776648903085,0.307221575705621,-0.436280138812328
"9/30/1995",0.6,28.973333,22.44,15.896667,144.268729286243,-143.668729286243,-0.23952122530753,-0.950408428051123
"10/31/1995",144.3,29.090323,22.851613,18.206452,153.934727539236,-9.63472753923639,-0.176615510323679,-0.205616862484428
"11/30/1995",191.9,26.173333,21.305333,17.72,131.852523082252,60.0474769177481,-0.801242648457529,-0.600785363563269
